#expressedGenes,#expressedDiseaseGenes,lcc,lcczscore
7519,10,1,-0.415581
8242,15,2,0.894957
6513,12,2,1.529493
7162,11,3,5.360431
4037,7,3,5.728716
2768,4,1,-0.142857
5286,11,2,1.695652
3472,10,3,3.53009
7407,8,1,-0.314485
3880,9,1,-0.495188
8213,13,3,2.003295
6146,8,3,4.963973
7693,13,3,3.668997
4505,8,2,2.213211
4853,10,2,0.80459
7201,12,2,0.818388
8693,13,3,3.966859
3632,2,1,-0.100504
5241,11,2,1.283516
1639,6,1,-0.296217
7861,15,4,3.82366
6988,8,3,5.125693
7654,12,2,1.779513
3004,2,1,0.0
6451,13,3,3.077266
6028,11,2,1.581339
5523,8,1,-0.420084
6752,9,2,2.011435
7280,14,3,3.448394
8042,18,3,2.629386
5643,9,2,1.921098
5658,12,3,2.694687
7685,11,3,4.120978
3858,9,2,2.483064
9023,14,4,4.755482
7014,13,3,3.944799
6713,10,1,-0.415581
6346,12,1,-0.592333
4343,10,2,1.788854
5938,10,2,2.137744
6450,12,2,1.196249
6011,9,1,-0.426401
2902,5,1,-0.175863
2290,4,1,-0.294884
5394,11,3,4.151579
6394,12,3,3.41189
3903,6,1,-0.333333
6607,9,3,6.040466
5496,9,1,-0.296217
4357,7,2,2.239747
6665,11,2,2.067904
6008,12,2,1.13713
2661,5,1,-0.204124
2784,3,1,-0.204124
6661,12,2,1.347151
1895,3,1,-0.217072
6469,12,2,1.207211
7501,13,3,2.94711
7908,13,3,3.841749
4890,10,2,1.741001
2173,4,1,-0.229416
8156,11,2,1.529493
4906,9,3,3.458458
8685,15,2,1.652574
6209,10,1,-0.468521
6003,9,1,-0.3386
430,0,0,0.0
5943,8,2,2.844452
6692,8,2,2.591989
6952,12,3,4.024922
3656,3,1,0.0
5962,12,2,1.299867
1642,4,1,-0.229416
2661,1,1,0.0
5978,9,2,1.905159
5011,8,1,-0.382046
7685,12,3,2.85131
4472,5,1,-0.175863
3879,3,2,9.949874
5339,6,3,7.505553
4981,7,2,3.644957
5867,10,1,-0.356332
1565,4,1,-0.175863
6798,14,3,3.775478
6925,10,3,3.155844
8985,13,3,3.766127
2543,2,1,0.0
8770,19,3,1.395037
4133,9,3,5.560455
3545,2,1,-0.100504
7397,14,3,4.066514
6192,11,3,3.742514
3012,6,1,-0.252646
7223,11,3,3.841749
4691,12,3,3.353941
947,0,0,0.0
2944,4,1,-0.204124
8392,13,2,1.499191
3701,5,1,-0.229416
1833,3,1,-0.175863
6918,14,3,1.792167
8215,13,3,3.986851
2212,5,1,-0.252646
7390,13,2,1.009026
5774,12,3,2.743977
7011,12,3,3.173911
1833,5,3,5.7853
6991,12,3,3.490778
5867,11,2,1.483651
1765,3,1,-0.165521
7855,14,2,1.464819
8412,13,3,3.798773
7445,11,3,2.454954
6932,13,3,2.873524
7424,15,3,2.883223
4361,8,1,-0.383131
7055,10,1,-0.403473
7694,15,3,2.471048
6482,12,3,3.353941
4852,9,2,1.7997
5817,11,2,1.885618
6905,10,2,1.407711
6672,9,1,-0.369274
7749,14,3,2.799023
6069,11,3,4.205949
7074,13,3,3.775478
4944,10,2,1.398757
6923,9,1,-0.366508
6712,13,3,3.016415
6942,11,2,2.137744
6800,13,2,1.299867
2684,8,2,2.011435
6581,10,3,5.125693
7961,15,3,1.85741
8006,16,3,2.435197
7223,11,2,1.689306
8553,14,3,3.05329
7569,10,3,4.066514
4562,9,2,1.662145
7894,15,3,3.668997
1867,2,1,0.0
5239,10,3,4.300232
3195,7,2,2.223472
4917,7,2,3.644957
6530,15,4,3.932002
6116,10,3,4.871779
4890,6,1,-0.274352
8326,14,3,3.077266
7674,13,3,3.008748
4398,8,2,2.29517
1869,2,1,0.0
1962,4,1,-0.252646
7697,11,1,-0.361538
4731,8,2,3.0
6367,13,3,2.97551
5955,8,2,2.850718
2525,5,2,2.29517
5647,12,3,3.19023
4944,11,3,2.968661
8347,19,3,1.761286
7414,12,3,3.077266
2612,6,1,-0.330477
4567,8,3,4.024922
7731,13,3,3.574756
5989,12,3,3.798773
6230,8,2,2.844452
2214,3,1,-0.142857
4851,7,3,6.275716
6648,12,2,1.646464
3700,7,2,3.007114
8414,14,3,2.56081
3677,8,1,-0.45257
6239,10,3,4.445641
