,Cholesterol,Glucose,HbA1c,HDL Cholesterol,LDL Cholesterol,Triglycerides,Vitamin D,Eosinophil Count,High Light Scatter Retic. Count,Lymphocyte Count,Mean Corpuscular Hemoglobin,Mean Platelet Volume,Monocyte Count,Platelet Count,Red Blood Cell Dist. Width,Red Blood Cell Count,White Blood Count,Bone Mineral Density,Balding Type 1,BMI,Height,Waist-Hip Ratio,Diastolic blood pressure,Systolic Blood Pressure,Edu College,Smoking Status,Autoimmune disease,Allergy Eczema Diagnosed,Asthma Diagnosed,Cardiovascular disease,Dermatology,Diabetes Any Diagnosed,Endocrine Diabetes,High cholesterol,Hypertension Diagnosed,Psoriasis,Respiratory Ent,Type 2 diabetes,Thyroid Any Self Rep,FEV1\FVC Ratio,Forced Vital Capacity,Neuroticism,Chronotype (morning person),Hair Color,Tanning,Childless,Age of Menarche,#Children,Hypothyroidism Self Rep
Red Blood Cell Dist. Width,0.5254339561059778,0.23848054883056036,0.22559048857160313,0.680101658354712,0.4158593199839393,0.7241562134228677,0.05918502364056155,0.31396931220806423,0.5964577299370557,0.5267592823063744,0.3728819202781247,0.5186567539492748,0.4080355355104046,0.424234331646989,1.0,0.6495553787959775,0.34319141516971197,0.4029356253079821,0.06294718022488444,0.10279004771015599,0.5172215119543871,0.5259926060678766,0.3516253954845656,0.580045072817708,0.15922840199814103,0.47120067997393533,0.45973752851228866,0.4615765790805013,0.5674621435449196,0.3476408659119177,0.3188767219275288,0.5137932989020386,0.2906869078748664,0.40310788382683915,0.5048712686242798,0.1570107784969017,0.2937262678284315,0.5271533491021791,0.32165514027040687,0.29924731854054,0.21391343780202732,0.2908169791980637,0.18135093589795392,0.004277815794832662,0.7967754639921816,0.4059436562870271,0.7383082700733338,0.5080633476186863,0.1568347977759803
Red Blood Cell Count,0.745622806275559,0.48312269607661085,0.23161629933077932,0.6656331674305177,0.6266181891002794,0.7582646081378102,0.21027113882325732,0.3683997651877815,0.7270871404262911,0.6684190767183184,0.39413474818975813,0.6829386907890906,0.501367973898073,0.7018359434116278,0.6495553787959775,1.0,0.45271311401058556,0.6968685188580928,0.3233044032086355,0.22888045234446963,0.7422396569120799,0.6828566553344783,0.4124277562348393,0.7671762354725649,0.48602713557821176,0.5485902672430656,0.7111989328047499,0.6247193834742921,0.7589999294987029,0.3932576272577393,0.3281341240749316,0.535924005544222,0.3773360159232586,0.5243080607576193,0.5823421858121515,0.2043286370219327,0.46811134912889396,0.6621894866729142,0.46725165438516525,0.34073697627927857,0.34015312268922226,0.3789534223729467,0.22202496115352965,0.1343501237269069,0.6651695837084516,0.5148001348007294,0.7849302734197489,0.7867033135477595,0.27028615589199
White Blood Count,0.45886631409961054,0.5544609659766127,0.22578559299503076,0.26345499584716103,0.581735086892122,0.3193891820036061,0.5830436344650307,0.5179407039164339,0.42478869108358586,0.4987484301952233,0.22078860846892945,0.6358587752293634,0.5153287378981503,0.48926881283386003,0.34319141516971197,0.45271311401058556,1.0,0.1880924191326171,0.4595266538023324,0.3823644279417324,0.37569339554965686,0.4310167279990018,0.3730642554501655,0.6048205117201576,0.32123293603171743,0.4969790268495595,0.33918551215577897,0.5800917766762793,0.44016332783869405,0.6177656204782703,0.4858117627922809,0.17332372665003926,0.7946678107672984,0.5668423511303293,0.5722267714965125,0.4337267929784807,0.30979099700333246,0.407672394005005,0.3207627429130089,0.503110166417836,0.6049559467880101,0.3707271951780955,0.6524737403237257,0.5407371112607062,0.4832613249496057,0.19858811552030364,0.4229812542269502,0.28896294991623805,0.23374838407971965
Bone Mineral Density,0.5894609961990015,0.0645998494651997,0.22835603602605348,0.5948210420755068,0.3590843807198423,0.7131594831048208,0.13446299190719357,0.360205131698474,0.6388670970719855,0.616017635743229,0.49156626141485615,0.5865591698771094,0.5097627090142834,0.6259639041807296,0.4029356253079821,0.6968685188580928,0.1880924191326171,1.0,0.16143070641547752,0.06259469206110135,0.6022109740318271,0.6257398141631092,0.3914713167020727,0.5652106077779342,0.43793677437337586,0.4876313329264085,0.7657406252160903,0.5452011105842076,0.7386130956522527,0.3703447996091864,0.41188246300453923,0.2033050435279785,0.2655183059308288,0.1628063602846812,0.5507667262268096,0.17394908520545171,0.5647135799700864,0.40539069247456294,0.3608639782822456,0.16747028647106021,0.3087742049126668,0.2994117626119456,0.17727307695527939,0.06716856997950138,0.38165336879888145,0.734674048130356,0.7160233407848826,0.8455118047018015,0.13405353736629266
Balding Type 1,0.2984828827708137,0.6105028353096581,0.13191157913875073,0.09074062404210081,0.3741584669424156,0.21219430870922207,0.6019732600160618,0.44571373162001326,0.22251159538316356,0.3482706909382569,0.30059024381149546,0.33919415029325384,0.2935469551408374,0.48777873757509693,0.06294718022488444,0.3233044032086355,0.4595266538023324,0.16143070641547752,1.0,0.6669194065071196,0.3477792646997744,0.19593431163640296,0.42044297166375943,0.33754290148603716,0.58892199730215,0.41522133813398465,0.46707151546208303,0.5290124340451763,0.3425013484141295,0.28245461220685897,0.5043560638268799,0.1962364258039253,0.4646594704194721,0.3040309559866321,0.22720341788213916,0.3013606695956943,0.5389749285868067,0.2778707085714269,0.4394565506789946,0.5194672981095141,0.42779525037306354,0.6545624998603697,0.5049577449714362,0.5765999867976972,0.29421444039422295,0.22377973035621068,0.2750807842223999,0.25145676875023004,0.5731012253438765
BMI,0.1143570054268277,0.759770000184943,0.1763101033113954,0.19734829177667468,0.23330753132330562,0.20955944620879874,0.7911913810702814,0.4470478879342047,0.30556965589329144,0.11825148881256031,0.1489600486155307,0.32429727438852285,0.29102419176222205,0.2547817478421597,0.10279004771015599,0.22888045234446963,0.3823644279417324,0.06259469206110135,0.6669194065071196,1.0,0.21927429440680646,0.1334369202605309,0.5044633834611733,0.3529786140519747,0.7687808683672072,0.15911101493456536,0.31347403679754593,0.24927051505042408,0.053222115273818926,0.4212288283715624,0.24497406293824664,0.3848605868633098,0.6084943484498351,0.4345372003889383,0.2593369106983512,0.38217960930851724,0.3101371604588332,0.5377602403152245,0.4645575840031968,0.5849091450036868,0.610710996973089,0.40486013189810377,0.5831544464165328,0.6836526397834916,0.11870757167087376,0.017616068585554978,0.13638892913327016,0.06740299438386665,0.6913213131425527
Height,0.7360821237035088,0.36360021213038995,0.17263424561951668,0.4441391803026874,0.542813626598038,0.7352704016967616,0.26722752738954303,0.38908861725136146,0.7544095174072245,0.7342621478529983,0.5714263144327288,0.5393041655275438,0.4921920421433159,0.5965569639087094,0.5172215119543871,0.7422396569120799,0.37569339554965686,0.6022109740318271,0.3477792646997744,0.21927429440680646,1.0,0.738570727402172,0.4802432497863771,0.6230604326520965,0.5515589859911881,0.5732739924753346,0.6570367053241659,0.6391562855081778,0.6692733477874202,0.5404006675014064,0.2626193344365606,0.6013213494733829,0.32514802243605034,0.35975963397618527,0.4964045284420544,0.39932141869758375,0.4631325635701058,0.40563048483016895,0.5579457031050241,0.4509490817441346,0.4059216104570822,0.27045213517759603,0.13290778965938477,0.17719911888542206,0.6328492580599565,0.7561243091657024,0.843983983818275,0.6260644807660666,0.3474940041105421
Waist-Hip Ratio,0.7137820929461315,0.18837840052940114,0.007216150431772261,0.4175292849524539,0.7323933380460506,0.7453448388014342,0.19560439088956116,0.12300203061308768,0.8240753686747976,0.6063506015371533,0.2141944716766605,0.4845305778091391,0.2468966722592214,0.4525349774849161,0.5259926060678766,0.6828566553344783,0.4310167279990018,0.6257398141631092,0.19593431163640296,0.1334369202605309,0.738570727402172,1.0,0.5074676723863394,0.6683422441052635,0.42538874730346987,0.7057990104330363,0.7096194603894985,0.48740858008904,0.6753264125272289,0.4535681576515862,0.39134287753014796,0.4512756772419284,0.439258592418606,0.4389003498906776,0.5875172456346377,0.2954106944916459,0.26253248289159425,0.501747881289225,0.49232546037975955,0.4635876183559309,0.3816936508090848,0.4070902465273981,0.19089948922375433,0.08527321863865933,0.6298228392958719,0.6367241457417805,0.771618860498126,0.6127484445534516,0.3141351382947982
Diastolic blood pressure,0.3894025474750522,0.37913120557896596,0.004706500204920361,0.3264152140076475,0.4889774803281195,0.4402505234716141,0.5060241374584147,0.2306120235934106,0.6021547188633609,0.41900061459248206,0.039278715094767325,0.3613093058691975,0.34868798811845814,0.563737441924843,0.3516253954845656,0.4124277562348393,0.3730642554501655,0.3914713167020727,0.42044297166375943,0.5044633834611733,0.4802432497863771,0.5074676723863394,1.0,0.5392198975102506,0.582736282495162,0.38618423985532635,0.39123233049548567,0.38324662577598945,0.2724225355162757,0.5747925044014588,0.3295954319614929,0.2860620500709927,0.5506559363594876,0.26641457716956496,0.372956872143252,0.3483702138900072,0.29401726508457315,0.3440886279670703,0.3716494828701524,0.5376964407802082,0.6462125108052756,0.5395642561647996,0.5373752742636628,0.560823405620582,0.38295447882401523,0.3287336572009969,0.4454535477930307,0.384361871884465,0.4339402691271135
Systolic Blood Pressure,0.5538689292898467,0.4598914543088255,0.1858236810117263,0.555910606504522,0.534690995017628,0.6346025151136612,0.5644578559792467,0.5159288211415665,0.827264615082427,0.44876500170490097,0.20830000811931026,0.8045145308725757,0.5394003116762066,0.5016814267511581,0.580045072817708,0.7671762354725649,0.6048205117201576,0.5652106077779342,0.33754290148603716,0.3529786140519747,0.6230604326520965,0.6683422441052635,0.5392198975102506,1.0,0.47698405767396745,0.3848042785380035,0.6442864153550378,0.4810030147143656,0.5058165333969573,0.6880925319664244,0.4795342214457947,0.4847437211822976,0.6670203093144795,0.3839449273708442,0.6799078240171831,0.4204705446142032,0.30756160275649824,0.6323752488487324,0.5162753508244176,0.48013136823506963,0.6459253250993571,0.25789120116791187,0.5194484385926118,0.46234868312197097,0.5611763523632596,0.37390574079314387,0.6284357648385254,0.5772077658949467,0.30581870262590105
Edu College,0.3994126372713427,0.5802940432013681,0.2747458044767759,0.34254427588825687,0.3611155652739525,0.4250714711492001,0.6245237460121436,0.5490203310307903,0.5384730792073426,0.3807409240673534,0.33669646445432855,0.5001373238577781,0.43400462686777996,0.5133031353775982,0.15922840199814103,0.48602713557821176,0.32123293603171743,0.43793677437337586,0.58892199730215,0.7687808683672072,0.5515589859911881,0.42538874730346987,0.582736282495162,0.47698405767396745,1.0,0.39646351343427577,0.660367147879961,0.42900944355785375,0.29247903539741316,0.3851232364915874,0.4001827946362817,0.35094438538535755,0.4682737408468235,0.3788541300736934,0.26743581623695234,0.479897406092476,0.5184687774568789,0.5657253218617178,0.5932782893938424,0.6510543525427792,0.4872173253266896,0.38248620642346043,0.4341599094009435,0.568614530268174,0.18597037129706817,0.3762366677226484,0.3861958607257119,0.3744795888289779,0.6684939849748703
Smoking Status,0.6668640234611027,0.2430094350016072,0.26303287355801597,0.46149302656559477,0.6488764407887195,0.5823709649343055,0.07985127803877046,0.3018939928117683,0.5027394845460073,0.782730536310376,0.5333409747482896,0.32214339815188553,0.35326102260591075,0.664620051247482,0.47120067997393533,0.5485902672430656,0.4969790268495595,0.4876313329264085,0.41522133813398465,0.15911101493456536,0.5732739924753346,0.7057990104330363,0.38618423985532635,0.3848042785380035,0.39646351343427577,1.0,0.5734235053885421,0.7761180984159223,0.7730798138240005,0.23615830320034925,0.572903522270841,0.1804311389288744,0.32310474602916384,0.50519797147286,0.5687877594503382,0.4234908378161082,0.5283046824523426,0.2391330145283097,0.2928569168993913,0.4088775887604523,0.21430689024847216,0.6585645367740882,0.1883865503476415,0.07149816930648656,0.6971383172150019,0.566301348093625,0.712760866704424,0.47495616907961846,0.21529569842862806
Autoimmune disease,0.6031469332790214,0.21207814582956508,0.23111491872748635,0.53796949570137,0.42732832388333963,0.7632017850844163,0.3441664604156254,0.4989647799691641,0.7376343444681469,0.5845299765649128,0.4557223542672183,0.7103244635167058,0.5370994792762627,0.6162006386519792,0.45973752851228866,0.7111989328047499,0.33918551215577897,0.7657406252160903,0.46707151546208303,0.31347403679754593,0.6570367053241659,0.7096194603894985,0.39123233049548567,0.6442864153550378,0.660367147879961,0.5734235053885421,1.0,0.5762416202883183,0.6765975808845661,0.4317391416941565,0.5620467054252831,0.38048842386363235,0.353287006971321,0.2934941151211703,0.5322856045834965,0.3079919230141328,0.5428598379577183,0.6390654892814273,0.6903310072849701,0.39544376369654044,0.380056687764736,0.4253676028232316,0.284545835923942,0.2053230988311211,0.4406965022411129,0.6000769357166809,0.6537832566303647,0.7136963072250864,0.4821358096473436
Allergy Eczema Diagnosed,0.7741546605691261,0.32813168510115465,0.3714361498924813,0.5397950268862511,0.5796060791075135,0.6000055669451495,0.23775834877815116,0.6085523749959917,0.442571061181817,0.911459166634799,0.7397524905974655,0.5891736795592183,0.7416275329975356,0.8510087765337965,0.4615765790805013,0.6247193834742921,0.5800917766762793,0.5452011105842076,0.5290124340451763,0.24927051505042408,0.6391562855081778,0.48740858008904,0.38324662577598945,0.4810030147143656,0.42900944355785375,0.7761180984159223,0.5762416202883183,1.0,0.8407054691133143,0.4403566282392706,0.5778228323577977,0.1742074203485643,0.43307101596809283,0.35286477437236297,0.5880027662924039,0.35238169998595315,0.6611450889245829,0.26446173581557275,0.30900402564135143,0.3492840670061652,0.40453823211707995,0.566294498948506,0.3665339902148377,0.24343454172591383,0.6997602930191958,0.4848347346860251,0.6878069225800177,0.5695781591871404,0.14184901588745902
Asthma Diagnosed,0.773634234951491,0.15956042691503025,0.38403512482306046,0.5918096998199434,0.580203697471856,0.7875247766532909,0.06206802696722369,0.4348299660100101,0.5190763039614418,0.8497019512937081,0.657623334651428,0.5749644015295139,0.49886471350286954,0.7750448122145808,0.5674621435449196,0.7589999294987029,0.44016332783869405,0.7386130956522527,0.3425013484141295,0.053222115273818926,0.6692733477874202,0.6753264125272289,0.2724225355162757,0.5058165333969573,0.29247903539741316,0.7730798138240005,0.6765975808845661,0.8407054691133143,1.0,0.312407876649504,0.4788421410951247,0.2606354622549528,0.2902298981779061,0.3597374170421065,0.6754654182066557,0.2202483611162004,0.6696090066301574,0.3623312703079351,0.35167475906417367,0.23927363614836505,0.2528263224012657,0.5566876102925452,0.13920027920215927,0.04385417243742662,0.7176653024742299,0.6663602522213655,0.8393960361044538,0.802503969941907,0.11323569013520762
Cardiovascular disease,0.37586293856551445,0.3814927304898824,0.23089475029123063,0.3540879798450771,0.3240418268947657,0.501135040510816,0.6337906756923362,0.47074306420588363,0.616538952081307,0.45149291680723325,0.26685867997677026,0.6249851488345082,0.6267844251386422,0.359264840630541,0.3476408659119177,0.3932576272577393,0.6177656204782703,0.3703447996091864,0.28245461220685897,0.4212288283715624,0.5404006675014064,0.4535681576515862,0.5747925044014588,0.6880925319664244,0.3851232364915874,0.23615830320034925,0.4317391416941565,0.4403566282392706,0.312407876649504,1.0,0.40485142389409956,0.5014269661577753,0.7134708456310208,0.2841067371112904,0.6260720592406621,0.4620497166504717,0.14752426104571414,0.48083553144596114,0.35956476814047966,0.3030169884178937,0.8687204443235003,0.15569545105221216,0.5981471972926294,0.49566865108747793,0.3668001187093728,0.2943085460442555,0.4679118630671899,0.28691880320718033,0.2447593556372415
Dermatology,0.43650512185463053,0.2132534138320179,0.48724113797644564,0.3854459542807034,0.45030185740872786,0.41652106731319205,0.35281470946345395,0.5623223121665173,0.3623902665797324,0.4338455776361638,0.36934582847683695,0.5434219623005158,0.4258920975663525,0.46654076651146836,0.3188767219275288,0.3281341240749316,0.4858117627922809,0.41188246300453923,0.5043560638268799,0.24497406293824664,0.2626193344365606,0.39134287753014796,0.3295954319614929,0.4795342214457947,0.4001827946362817,0.572903522270841,0.5620467054252831,0.5778228323577977,0.4788421410951247,0.40485142389409956,1.0,0.0043428635273470295,0.5136409446585372,0.1675323503021846,0.4831699862817236,0.4734257902104906,0.4799049969447571,0.2878034111260419,0.20648555112071532,0.3285564419214575,0.3933507388267834,0.49717269660734287,0.5971706356665324,0.39500152494425156,0.464445020289905,0.2942476019118141,0.4107336199541418,0.3541930984691869,0.23477994850145278
Diabetes Any Diagnosed,0.3831100237129613,0.4395272994057734,0.08495105449705631,0.3373570184993273,0.3397748153193294,0.503205956951778,0.25323055108865244,0.039091489142791924,0.48016655589774015,0.2988788397237987,0.19680995458530282,0.23175515697916937,0.15759619891612497,0.1143195075659833,0.5137932989020386,0.535924005544222,0.17332372665003926,0.2033050435279785,0.1962364258039253,0.3848605868633098,0.6013213494733829,0.4512756772419284,0.2860620500709927,0.4847437211822976,0.35094438538535755,0.1804311389288744,0.38048842386363235,0.1742074203485643,0.2606354622549528,0.5014269661577753,0.0043428635273470295,1.0,0.23347569452852734,0.5926894995992139,0.310101298221345,0.12678280491481808,0.08293196927756585,0.7122942911972135,0.4119776333394738,0.26033279343267424,0.37611826240108326,0.18950551420923667,0.03939383260535623,0.035784532922654155,0.500942787363399,0.28876187666665265,0.5645555149795983,0.28128207044852394,0.39054452722346467
Endocrine Diabetes,0.403664411470542,0.6421691236000693,0.2178672546796756,0.37483534113640926,0.5233050524941545,0.3581065669632495,0.8240043738785122,0.4872420575182703,0.5054807918631037,0.35782973804603757,0.11444398659897403,0.5941253516342996,0.4791461404607329,0.3320776641281775,0.2906869078748664,0.3773360159232586,0.7946678107672984,0.2655183059308288,0.4646594704194721,0.6084943484498351,0.32514802243605034,0.439258592418606,0.5506559363594876,0.6670203093144795,0.4682737408468235,0.32310474602916384,0.353287006971321,0.43307101596809283,0.2902298981779061,0.7134708456310208,0.5136409446585372,0.23347569452852734,1.0,0.4784134993460194,0.607436426115108,0.47545229335156103,0.17397179272050867,0.4834599081729669,0.3124767605392389,0.6052632482749511,0.8247437762860877,0.4084901746663223,0.8648483850688402,0.6998400424919146,0.4001525843638053,0.13924111518777993,0.36539431618550955,0.20296756222961398,0.35665150082093877
